Post URL,Post Publish Date,Engagements,,Post URL,Post Publish Date,Impressions
https://www.linkedin.com/posts/richardbuettner_wenn-daten-nur-geschaetzt-sind-wird-jede-share-7417175429712633856-aIBc,1/16/2026,7,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-crm-vertrieb-share-7432037548014858240-e5ds,2/27/2026,197
https://www.linkedin.com/posts/richardbuettner_douwe-wester-i-was-just-thinking-about-share-7472241566393454593-gGVX,6/15/2026,7,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-gtm-revenueops-share-7413286969952305152-BVOS,1/6/2026,189
https://www.linkedin.com/posts/richardbuettner_b2bsaas-gtm-revenueops-share-7413286969952305152-BVOS,1/6/2026,6,,https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-sales-and-finance-are-both-share-7442189800406663168-Ji-M,3/24/2026,170
https://www.linkedin.com/posts/richardbuettner_daniel-murray-google-ads-i-closed-that-share-7475503110858211328-lBfs,6/24/2026,6,,https://www.linkedin.com/posts/richardbuettner_douwe-wester-one-of-my-clients-sells-into-share-7475140707465347072-wxtL,6/23/2026,168
https://www.linkedin.com/posts/richardbuettner_b2bsaas-revops-revenueoperations-share-7418956225536749568-jmDv,1/21/2026,6,,https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-one-ai-dev-tools-company-recently-share-7450091838977306624-z-iW,4/15/2026,165
https://www.linkedin.com/posts/richardbuettner_many-companies-dont-have-a-marketing-strategy-ugcPost-7364562103170457600-nQ17,8/22/2025,6,,https://www.linkedin.com/posts/richardbuettner_gerade-aus-einer-frisch-durchgefuehrten-cold-email-outbound-kampagne-share-7419781199943938048-gEgZ,1/23/2026,165
https://www.linkedin.com/posts/richardbuettner_2026-wird-fuer-deutsche-tech-scale-ups-das-share-7420035386485305344-5qyU,1/26/2026,6,,https://www.linkedin.com/posts/richardbuettner_leore-spira-revopsconfessions-hot-take-share-7445399654629851136-CZOb,4/2/2026,163
https://www.linkedin.com/posts/richardbuettner_die-teuerste-wachstumsstrategie-ist-mehr-share-7427278592943902720-FDDM,2/17/2026,6,,https://www.linkedin.com/posts/richardbuettner_this-weeks-motto-the-perfect-is-the-enemy-share-7396209254577360896-lwBA,11/17/2025,160
https://www.linkedin.com/posts/richardbuettner_matteo-fois-job-postings-arent-just-hiring-share-7466035706789023745-_ecE,5/29/2026,5,,https://www.linkedin.com/posts/richardbuettner_the-multi-channel-content-ai-agent-inbound-share-7374906353393266688-0hV9,9/22/2025,155
https://www.linkedin.com/posts/richardbuettner_gerade-aus-einer-frisch-durchgefuehrten-cold-email-outbound-kampagne-share-7419781199943938048-gEgZ,1/23/2026,5,,https://www.linkedin.com/posts/richardbuettner_will-allred-cant-lie-im-tired-of-people-share-7472558707076382720-7sCD,6/16/2026,154
https://www.linkedin.com/posts/richardbuettner_der-schlanke-gtm-stack-ist-nicht-das-ziel-share-7448475823877115904-cOZp,4/14/2026,5,,https://www.linkedin.com/posts/richardbuettner_der-schlanke-gtm-stack-ist-nicht-das-ziel-share-7448475823877115904-cOZp,4/14/2026,153
https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-revops-spends-months-building-share-7443261143923490816-oG1K,3/27/2026,5,,https://www.linkedin.com/posts/richardbuettner_daniel-murray-google-ads-i-closed-that-share-7475503110858211328-lBfs,6/24/2026,151
https://www.linkedin.com/posts/richardbuettner_viele-gtm-teams-nutzen-inzwischen-ai-fuer-share-7403714698933702656-hyb8,12/8/2025,5,,https://www.linkedin.com/posts/richardbuettner_2026-wird-das-jahr-in-dem-sich-revenue-engines-share-7417514567070732288-jiXb,1/19/2026,150
https://www.linkedin.com/posts/richardbuettner_b2bvertrieb-gtm-outbound-share-7444661621202763776-rwp6,3/31/2026,5,,https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-revops-spends-months-building-share-7443261143923490816-oG1K,3/27/2026,147
https://www.linkedin.com/posts/richardbuettner_aus-meiner-fractional-cmo-erfahrung-die-share-7418409973765992448-6LP_,1/20/2026,5,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-revops-revenueoperations-share-7418956225536749568-jmDv,1/21/2026,146
https://www.linkedin.com/posts/richardbuettner_b2bsaas-gotomarket-revenueoperations-share-7426359583696277504--7Dn,2/9/2026,5,,https://www.linkedin.com/posts/richardbuettner_new-article-ugcPost-7430219351783473153-NYhp,2/19/2026,143
https://www.linkedin.com/posts/richardbuettner_5-pipeline-killer-die-ich-bei-deutschen-share-7408846240324558850-39nG,12/22/2025,5,,https://www.linkedin.com/posts/richardbuettner_many-companies-dont-have-a-marketing-strategy-ugcPost-7364562103170457600-nQ17,8/22/2025,141
https://www.linkedin.com/posts/richardbuettner_heres-another-growth-hack-and-thats-exactly-ugcPost-7370531810885312512-YJOd,9/8/2025,5,,https://www.linkedin.com/posts/richardbuettner_wenn-daten-nur-geschaetzt-sind-wird-jede-share-7417175429712633856-aIBc,1/16/2026,139
https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7470429644152844288-C458,6/10/2026,4,,https://www.linkedin.com/posts/richardbuettner_sangram-vajre-important-question-who-share-7441578610886373377-iBGL,3/22/2026,134
https://www.linkedin.com/posts/richardbuettner_janis-zech-i-dont-think-ai-will-replace-share-7442878545422385152-PiY9,3/26/2026,4,,https://www.linkedin.com/posts/richardbuettner_2026-wird-fuer-deutsche-tech-scale-ups-das-share-7420035386485305344-5qyU,1/26/2026,134
https://www.linkedin.com/posts/richardbuettner_ki-veraendert-den-vertrieb-nicht-durch-mehr-ugcPost-7430186586140684288-nEMB,2/19/2026,4,,https://www.linkedin.com/posts/richardbuettner_isnt-vibe-coding-the-greatest-thing-since-ugcPost-7371186441080668163-Btvx,9/10/2025,134
https://www.linkedin.com/posts/richardbuettner_2026-wird-das-jahr-in-dem-sich-revenue-engines-share-7417514567070732288-jiXb,1/19/2026,4,,https://www.linkedin.com/posts/richardbuettner_viele-gtm-teams-nutzen-inzwischen-ai-fuer-share-7403714698933702656-hyb8,12/8/2025,131
https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7490315704232181761-OwOa,8/4/2026,4,,https://www.linkedin.com/posts/richardbuettner_douwe-wester-i-was-just-thinking-about-share-7472241566393454593-gGVX,6/15/2026,129
https://www.linkedin.com/posts/richardbuettner_ugcPost-7401273997591490560-j5zt,12/1/2025,4,,https://www.linkedin.com/posts/richardbuettner_sangram-vajre-took-me-4-years-to-figure-share-7441587259210027009-HbAP,3/22/2026,128
https://www.linkedin.com/posts/richardbuettner_b2bsaas-crm-vertrieb-share-7432037548014858240-e5ds,2/27/2026,3,,https://www.linkedin.com/posts/richardbuettner_viele-mittelstaendler-glauben-sie-haetten-share-7417137641059442690-q34Y,1/15/2026,125
https://www.linkedin.com/posts/richardbuettner_this-weeks-motto-the-perfect-is-the-enemy-share-7396209254577360896-lwBA,11/17/2025,3,,https://www.linkedin.com/posts/richardbuettner_stunning-and-scary-milestone-first-largely-share-7395401730890379265-VDm2,11/17/2025,124
https://www.linkedin.com/posts/richardbuettner_viele-mittelstaendler-glauben-sie-haetten-share-7417137641059442690-q34Y,1/15/2026,3,,https://www.linkedin.com/posts/richardbuettner_b2bvertrieb-gtm-outbound-share-7444661621202763776-rwp6,3/31/2026,124
https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7483792741915672576-syfJ,7/17/2026,3,,https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7483792741915672576-syfJ,7/17/2026,124
https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7468210033944764417-9QAP,6/4/2026,2,,https://www.linkedin.com/posts/richardbuettner_die-teuerste-wachstumsstrategie-ist-mehr-share-7427278592943902720-FDDM,2/17/2026,119
https://www.linkedin.com/posts/richardbuettner_great-post-by-richard-in-german-ugcPost-7401279148624613376-rUMA,12/1/2025,2,,https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7483067895841886209-O9b7,7/15/2026,117
https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-sales-and-finance-are-both-share-7442189800406663168-Ji-M,3/24/2026,2,,https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7490315704232181761-OwOa,8/4/2026,112
https://www.linkedin.com/posts/richardbuettner_stunning-and-scary-milestone-first-largely-share-7395401730890379265-VDm2,11/17/2025,2,,https://www.linkedin.com/posts/richardbuettner_aus-meiner-fractional-cmo-erfahrung-die-share-7418409973765992448-6LP_,1/20/2026,110
https://www.linkedin.com/posts/richardbuettner_will-allred-cant-lie-im-tired-of-people-share-7472558707076382720-7sCD,6/16/2026,1,,https://www.linkedin.com/posts/richardbuettner_ugcPost-7401273997591490560-j5zt,12/1/2025,109
,,,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-gotomarket-revenueoperations-share-7426359583696277504--7Dn,2/9/2026,107
,,,,https://www.linkedin.com/posts/richardbuettner_5-pipeline-killer-die-ich-bei-deutschen-share-7408846240324558850-39nG,12/22/2025,105
,,,,https://www.linkedin.com/posts/richardbuettner_heres-another-growth-hack-and-thats-exactly-ugcPost-7370531810885312512-YJOd,9/8/2025,105
